=== Best Solution Found ===;;;
Timestamp: 2025-03-28 00:14:07;;;
Total Length: 11331,00 meters;;;
Computation Time: 4119,80 seconds;;;
;;;
Parameters used:;;;
ALPHA=0,1000;BETA=10,0000;RHO=0,6000;Q=100,00
TAU_0=1,0000;P_0=0,0250;NUM_ANTS=100;MAX_ITERATIONS=1500
;;;
Wired segments:;;;
SegmentID;Node1;Node2;Distance
1;41;23;704
23;23;41;838
34;42;25;796
97;4;5;393
101;40;25;755
103;30;17;863
109;40;23;462
119;17;30;1060
172;47;28;842
174;34;38;625
198;56;57;408
236;107;106;596
238;104;83;1133
248;82;83;642
249;83;104;1214
;;;
;;;
=== Best Solution Found ===;;;
Timestamp: 2025-03-28 01:02:47;;;
Total Length: 10629,00 meters;;;
Computation Time: 2920,20 seconds;;;
;;;
Parameters used:;;;
ALPHA=0,5000;BETA=10,0000;RHO=0,5000;Q=100,00
TAU_0=0,0100;P_0=0,1000;NUM_ANTS=40;MAX_ITERATIONS=1500
;;;
Wired segments:;;;
SegmentID;Node1;Node2;Distance
1;41;23;704
23;23;41;838
61;73;75;669
100;23;40;440
101;40;25;755
103;30;17;863
109;40;23;462
119;17;30;1060
174;34;38;625
199;57;58;240
207;73;72;388
236;107;106;596
238;104;83;1133
248;82;83;642
249;83;104;1214
;;;
;;;
=== Best Solution Found ===;;;
Timestamp: 2025-03-28 01:59:59;;;
Total Length: 11261,00 meters;;;
Computation Time: 3431,38 seconds;;;
;;;
Parameters used:;;;
ALPHA=1,5000;BETA=0,7500;RHO=0,8000;Q=1000,00
TAU_0=0,1000;P_0=0,2000;NUM_ANTS=100;MAX_ITERATIONS=1500
;;;
Wired segments:;;;
SegmentID;Node1;Node2;Distance
1;41;23;704
23;23;41;838
101;40;25;755
103;30;17;863
108;25;40;545
111;2;5;525
119;17;30;1060
194;75;47;1079
196;140;60;796
201;57;56;444
235;105;107;1305
238;104;83;1133
249;83;104;1214
;;;
;;;
=== Best Solution Found ===;;;
Timestamp: 2025-03-28 03:03:35;;;
Total Length: 11691,00 meters;;;
Computation Time: 3816,06 seconds;;;
;;;
Parameters used:;;;
ALPHA=1,5000;BETA=1,5000;RHO=0,3000;Q=1500,00
TAU_0=0,7500;P_0=0,0100;NUM_ANTS=75;MAX_ITERATIONS=1500
;;;
Wired segments:;;;
SegmentID;Node1;Node2;Distance
1;41;23;704
23;23;41;838
29;125;124;384
34;42;25;796
61;73;75;669
96;3;4;519
101;40;25;755
103;30;17;863
119;17;30;1060
174;34;38;625
203;60;140;826
235;105;107;1305
238;104;83;1133
249;83;104;1214
;;;
;;;
=== Best Solution Found ===;;;
Timestamp: 2025-03-28 04:11:14;;;
Total Length: 11174,00 meters;;;
Computation Time: 4059,14 seconds;;;
;;;
Parameters used:;;;
ALPHA=1,5000;BETA=1,5000;RHO=0,1000;Q=1500,00
TAU_0=1,0000;P_0=0,1000;NUM_ANTS=100;MAX_ITERATIONS=1500
;;;
Wired segments:;;;
SegmentID;Node1;Node2;Distance
1;41;23;704
23;23;41;838
