=== Tuning Experiment 1 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-27 23:05:27;;;;;;;
Initial parameters:;;;;;;;
ALPHA=1,5000;BETA=1,0000;RHO=0,8000;Q=250,00;TAU_0=0,0010;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1500
;;;;;;;
ALPHA;0,001;11381;13771;12714,7;10;9413,62;
ALPHA;0,01;12434;13920;12999,1;10;9087,8;
ALPHA;0,1;11174;13959;12489;10;9003,48;
ALPHA;0,3;11481;13726;12666,4;10;8971,57;
ALPHA;0,5;11975;14192;13240,6;10;8481,65;
ALPHA;0,7;11596;13648;12771,1;10;7589,08;
ALPHA;1;11596;13651;12976,4;10;6119,62;
ALPHA;1,5;11043;13642;12835,2;10;6131,72;
BETA;0,5;11592;13615;12965,2;10;5742,26;
BETA;0,75;11436;13877;12813;10;5956,1;
BETA;1;11861;13760;12842;10;6046,36;
BETA;1,5;11322;13858;13009,9;10;6382,22;
BETA;2;11499;14011;12885,7;10;5699,64;
BETA;3;11386;13496;12575,1;10;5959,33;
BETA;4;11755;14094;13064,1;10;6031,74;
BETA;5;11916;13485;12763,4;10;6153,48;
BETA;10;11364;13434;12534,9;10;6018,25;
P_0;0,01;11875;14046;12863,2;10;5775,27;
P_0;0,025;11596;14081;12538,3;10;5835,3;
P_0;0,05;11923;13959;13030;10;5930,14;
P_0;0,1;11735;13772;12942,4;10;5998,2;
P_0;0,2;11624;14343;13118,5;10;6079,79;
P_0;0,3;11705;14846;13418,5;10;6080,66;
NUM_ANTS;30;11907;14320;12814,2;10;2684,08;
NUM_ANTS;40;11596;14003;12808,8;10;3074,34;
NUM_ANTS;50;12202;13953;12907,5;10;3874,28;
NUM_ANTS;75;11731;13525;12834,2;10;5642,01;
NUM_ANTS;100;11491;13612;12428,7;10;7622,11;
NUM_ANTS;150;11605;13484;12500,7;10;11038,58;
Q;10;12282;14273;13069,4;10;7657,91;
Q;50;11916;13993;12845,7;10;7635,83;
Q;100;10952;13427;12450,1;10;7624,87;
Q;250;11907;13431;12555,2;10;7647,17;
Q;500;11916;13409;12930,2;10;8096,21;
Q;750;12453;13993;13234,5;10;7632,63;
Q;1000;11596;13920;12625,6;10;7647,65;
Q;1500;11735;13796;12590,9;10;7775,6;
RHO;0,1;11907;13431;12739,2;10;7669,79;
RHO;0,3;11500;13930;12856,6;10;7676,38;
RHO;0,5;11596;13959;12820,1;10;7797,68;
RHO;0,6;11424;13409;12615,3;10;7694,21;
RHO;0,7;11700;13730;12808,7;10;7641,52;
RHO;0,75;10880;13959;12627,8;10;7748,72;
RHO;0,8;11596;13918;12958,3;10;7890,92;
RHO;0,85;12475;13561;13121,5;10;7946,75;
RHO;0,9;11039;13759;12640,9;10;7645,36;
TAU_0;0,001;11948;13685;13115,6;10;7661,16;
TAU_0;0,01;12167;14021;12963,4;10;7865,69;
TAU_0;0,1;11596;13994;12737,2;10;7602,95;
TAU_0;0,25;11700;13673;12560;10;7637,94;
TAU_0;0,5;11616;13654;12875,3;10;7657,93;
TAU_0;0,75;12364;13468;12941,1;10;7684,13;
TAU_0;1;11878;13798;12496,1;10;7686,25;
;;;;;;;
=== Best Configuration Found ===;;;;;;;
ALPHA=0,1000;BETA=10,0000;RHO=0,6000;Q=100,00;;;;
TAU_0=1,0000;P_0=0,0250;NUM_ANTS=100;MAX_ITERATIONS=1500;;;;
;;;;;;;
;;;;;;;
=== Tuning Experiment 2 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-28 00:14:07;;;;;;;
Initial parameters:;;;;;;;
ALPHA=0,1000;BETA=10,0000;RHO=0,6000;Q=100,00;TAU_0=1,0000;P_0=0,0250;NUM_ANTS=100;MAX_ITERATIONS=1500
;;;;;;;
ALPHA;0,001;11788;13669;12790,9;10;7808;
ALPHA;0,01;11916;14384;13336,5;10;7693,81;
ALPHA;0,1;11947;13895;12918,8;10;7725,65;
ALPHA;0,3;11605;13253;12464,8;10;7699,56;
ALPHA;0,5;11363;12927;11996,6;10;7292,5;
ALPHA;0,7;11700;14136;12888,2;10;7748,94;
ALPHA;1;11907;14056;12736,7;10;7723,27;
ALPHA;1,5;11700;13641;12644,4;10;7668,68;
BETA;0,5;11869;13301;12694,8;10;6619,46;
BETA;0,75;11616;13847;12562;10;7090,42;
BETA;1;11907;13944;12661,6;10;7236,66;
BETA;1,5;11025;14181;12899,7;10;7139,91;
BETA;2;11700;14018;12919,7;10;6510,48;
BETA;3;11644;13539;12521,7;10;7144,76;
BETA;4;11907;13853;12897,2;10;7180,51;
BETA;5;11907;13798;12596;10;7150,56;
BETA;10;11211;14377;12358,6;10;7151,08;
P_0;0,01;12004;14034;13080,3;10;7022,31;
P_0;0,025;11596;13934;12489,7;10;7177,88;
P_0;0,05;11889;13812;12765,4;10;7297,14;
P_0;0,1;11079;13825;12312,7;10;7467,71;
P_0;0,2;11359;14666;12977,6;10;7621,39;
P_0;0,3;11976;14655;13462,1;10;7689,6;
NUM_ANTS;30;12435;14199;13171,7;10;2934,45;
NUM_ANTS;40;11390;13528;12652;10;3041,74;
NUM_ANTS;50;12040;13714;12982;10;3782,63;
NUM_ANTS;75;12256;13617;13057,2;10;5487,44;
NUM_ANTS;100;11490;14238;13059,2;10;7277,53;
NUM_ANTS;150;12284;13538;12866,6;10;10713,85;
Q;10;12050;14152;13091,9;10;3083,2;
Q;50;11379;13755;12527,1;10;3052,43;
Q;100;11239;13475;12470,8;10;3086,2;
Q;250;11788;14098;13259,5;10;3071,93;
Q;500;11690;13544;12719,3;10;3547,89;
Q;750;11224;14211;13192,7;10;3142,74;
Q;1000;12171;13884;13158,6;10;3125,25;
Q;1500;10135;14137;12809,5;10;3141,47;
RHO;0,1;11742;13336;12775,1;10;3121,07;
RHO;0,3;12178;14067;13080,5;10;3121,49;
RHO;0,5;11368;13934;12627;10;3041,42;
RHO;0,6;10983;14031;12780,6;10;3101,52;
RHO;0,7;12130;14102;12958,1;10;3081,36;
RHO;0,75;11316;14150;12942,7;10;3090,27;
RHO;0,8;12033;14012;12769,6;10;3061,78;
RHO;0,85;11177;14209;12817,1;10;3066,01;
RHO;0,9;11691;13974;12785,5;10;3071,03;
TAU_0;0,001;11394;13881;13040,3;10;3087,6;
TAU_0;0,01;11151;13959;12697,4;10;3141,48;
TAU_0;0,1;10972;14344;12906,3;10;3115,36;
TAU_0;0,25;11655;13587;12818,6;10;3097,36;
TAU_0;0,5;11273;14185;12700,2;10;3162,58;
TAU_0;0,75;11295;14116;12879,9;10;3087,67;
TAU_0;1;11231;13604;12741,1;10;3114,81;
;;;;;;;
=== Best Configuration Found ===;;;;;;;
ALPHA=0,5000;BETA=10,0000;RHO=0,5000;Q=100,00;;;;
TAU_0=0,0100;P_0=0,1000;NUM_ANTS=40;MAX_ITERATIONS=1500;;;;
;;;;;;;
;;;;;;;
=== Tuning Experiment 3 ===;;;;;;;
;;;;;;;
=== New Experiment ===;;;;;;;
Started: 2025-03-28 01:02:48;;;;;;;
Initial parameters:;;;;;;;
ALPHA=0,5000;BETA=10,0000;RHO=0,5000;Q=100,00;TAU_0=0,0100;P_0=0,1000;NUM_ANTS=40;MAX_ITERATIONS=1500
;;;;;;;
ALPHA;0,001;11869;14010;13094;10;3283,84;
ALPHA;0,01;11663;13980;13073,5;10;3262,74;
