Experiment started: 2025-03-26 17:56:48
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

Parameter;Value;RunNumber;Length;ComputationTime(s)
ALPHA;0,0010;1;11274,00;4,985
ALPHA;0,0010;2;11514,00;4,992

=== New Experiment ===
Started: 2025-03-26 17:58:30
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

ALPHA;0,0010;1;11481,00;5,227
ALPHA;0,0010;2;11361,00;4,919
ALPHA;0,0010;3;11514,00;4,152
ALPHA;0,0010;4;11232,00;4,497
ALPHA;0,0010;5;11319,00;4,790
ALPHA;0,0010;6;11481,00;5,095
ALPHA;0,0010;7;11319,00;4,400
ALPHA;0,0010;8;11514,00;4,102
ALPHA;0,0010;9;11481,00;4,264
ALPHA;0,0010;10;11526,00;4,264
ALPHA;0,0100;1;11514,00;4,393
ALPHA;0,0100;2;11243,00;4,368
ALPHA;0,0100;3;11319,00;4,217
ALPHA;0,0100;4;11319,00;4,274
ALPHA;0,0100;5;11076,00;4,606
ALPHA;0,0100;6;11481,00;4,487
ALPHA;0,0100;7;11622,00;4,754
ALPHA;0,0100;8;11319,00;4,530
ALPHA;0,0100;9;11481,00;5,118
ALPHA;0,0100;10;11894,00;4,970
ALPHA;0,1000;1;11319,00;4,607
ALPHA;0,1000;2;11597,00;4,405
ALPHA;0,1000;3;11618,00;4,592
ALPHA;0,1000;4;11319,00;4,564
ALPHA;0,1000;5;11319,00;4,597
ALPHA;0,1000;6;11796,00;4,485
ALPHA;0,1000;7;11568,00;4,897
ALPHA;0,1000;8;11485,00;4,510
ALPHA;0,1000;9;11319,00;4,468
ALPHA;0,1000;10;11627,00;4,609
ALPHA;0,5000;1;11481,00;4,697
ALPHA;0,5000;2;11520,00;4,920
ALPHA;0,5000;3;11894,00;4,536
ALPHA;0,5000;4;11488,00;4,783
ALPHA;0,5000;5;11380,00;4,266
ALPHA;0,5000;6;11861,00;4,275
ALPHA;0,5000;7;11627,00;4,092
ALPHA;0,5000;8;11514,00;4,200
ALPHA;0,5000;9;11411,00;4,200
ALPHA;0,5000;10;11319,00;4,604
ALPHA;1,0000;1;11319,00;4,623
ALPHA;1,0000;2;11626,00;4,559
ALPHA;1,0000;3;11206,00;4,482
ALPHA;1,0000;4;11894,00;4,552
ALPHA;1,0000;5;11526,00;4,540
ALPHA;1,0000;6;11861,00;5,261
ALPHA;1,0000;7;11281,00;4,610
ALPHA;1,0000;8;11406,00;4,505
ALPHA;1,0000;9;11386,00;4,477
ALPHA;1,0000;10;11319,00;4,527
ALPHA;1,5000;1;11772,00;4,348
ALPHA;1,5000;2;11514,00;4,559
ALPHA;1,5000;3;11582,00;5,575
ALPHA;1,5000;4;11259,00;5,641
ALPHA;1,5000;5;11481,00;5,608
ALPHA;1,5000;6;11481,00;5,738
ALPHA;1,5000;7;11894,00;5,352
ALPHA;1,5000;8;11894,00;5,303
ALPHA;1,5000;9;11464,00;4,655
ALPHA;1,5000;10;11319,00;4,535
BETA;1,0000;1;11481,00;4,529
BETA;1,0000;2;11526,00;4,535
BETA;1,0000;3;11274,00;4,521
BETA;1,0000;4;11481,00;4,820
BETA;1,0000;5;11485,00;4,498
BETA;1,0000;6;11274,00;4,469
BETA;1,0000;7;11303,00;4,480
BETA;1,0000;8;11526,00;4,692
BETA;1,0000;9;11481,00;4,576
BETA;1,0000;10;11526,00;4,457
BETA;1,5000;1;11386,00;4,529
BETA;1,5000;2;11319,00;4,476
BETA;1,5000;3;11319,00;4,407
BETA;1,5000;4;11514,00;4,401
BETA;1,5000;5;11481,00;4,408
BETA;1,5000;6;11796,00;4,485
BETA;1,5000;7;11485,00;4,421
BETA;1,5000;8;11485,00;4,492
BETA;1,5000;9;11319,00;4,366
BETA;1,5000;10;11474,00;4,495
BETA;2,0000;1;11416,00;4,575
BETA;2,0000;2;11622,00;4,401
BETA;2,0000;3;11485,00;4,159
BETA;2,0000;4;11796,00;4,274
BETA;2,0000;5;11514,00;4,209
BETA;2,0000;6;11485,00;4,367
BETA;2,0000;7;11894,00;4,281
BETA;2,0000;8;11485,00;4,360
BETA;2,0000;9;11514,00;4,246
BETA;2,0000;10;11406,00;4,314
BETA;3,0000;1;11627,00;4,233
BETA;3,0000;2;11597,00;4,423
BETA;3,0000;3;11485,00;4,549
BETA;3,0000;4;11319,00;4,451
BETA;3,0000;5;11485,00;4,502
BETA;3,0000;6;11243,00;4,664
BETA;3,0000;7;11894,00;4,493
BETA;3,0000;8;11485,00;4,333
BETA;3,0000;9;11485,00;4,429
BETA;3,0000;10;11514,00;4,470
BETA;4,0000;1;10473,00;4,521
BETA;4,0000;2;11597,00;4,452
BETA;4,0000;3;11243,00;4,619
BETA;4,0000;4;11597,00;4,452
BETA;4,0000;5;11448,00;4,341
BETA;4,0000;6;11485,00;4,625
BETA;4,0000;7;11336,00;4,575
BETA;4,0000;8;11232,00;4,490
BETA;4,0000;9;11319,00;4,464
BETA;4,0000;10;11076,00;4,541
BETA;5,0000;1;11514,00;5,346
BETA;5,0000;2;11526,00;4,569
BETA;5,0000;3;11514,00;4,375
BETA;5,0000;4;11755,00;4,579
BETA;5,0000;5;11627,00;4,606
BETA;5,0000;6;11597,00;4,461
BETA;5,0000;7;11319,00;4,584
BETA;5,0000;8;11319,00;4,492
BETA;5,0000;9;10738,00;4,453
BETA;5,0000;10;11485,00;4,338
P_0;0,0100;1;11481,00;4,496
P_0;0,0100;2;12045,00;4,321
P_0;0,0100;3;11894,00;4,718
P_0;0,0100;4;11894,00;4,498
P_0;0,0100;5;11894,00;4,241
P_0;0,0100;6;11894,00;4,081
P_0;0,0100;7;12045,00;4,114
P_0;0,0100;8;11894,00;4,799
P_0;0,0100;9;11894,00;4,529
P_0;0,0100;10;11894,00;5,496
P_0;0,0250;1;12045,00;5,353
P_0;0,0250;2;11894,00;5,262
P_0;0,0250;3;11894,00;5,409
P_0;0,0250;4;11526,00;4,776
P_0;0,0250;5;11597,00;4,575
P_0;0,0250;6;11485,00;4,453
P_0;0,0250;7;11319,00;4,359
P_0;0,0250;8;11894,00;4,785
P_0;0,0250;9;11894,00;4,319
P_0;0,0250;10;11894,00;4,209
P_0;0,0500;1;11894,00;4,368
P_0;0,0500;2;11796,00;4,406
P_0;0,0500;3;11319,00;4,440
P_0;0,0500;4;11481,00;4,576
P_0;0,0500;5;11514,00;5,591
P_0;0,0500;6;11526,00;5,038
P_0;0,0500;7;11319,00;4,575
P_0;0,0500;8;11560,00;4,953
P_0;0,0500;9;11485,00;4,930
P_0;0,0500;10;11894,00;4,235
P_0;0,1000;1;11514,00;4,430
P_0;0,1000;2;11481,00;4,543
P_0;0,1000;3;11481,00;4,462
P_0;0,1000;4;11319,00;4,467
P_0;0,1000;5;11456,00;4,639
P_0;0,1000;6;11622,00;4,907
P_0;0,1000;7;11481,00;6,624
P_0;0,1000;8;11597,00;4,900
P_0;0,1000;9;11481,00;4,699
P_0;0,1000;10;11637,00;8,913
P_0;0,2000;1;11597,00;11,971
P_0;0,2000;2;11723,00;6,047
P_0;0,2000;3;11238,00;4,471
P_0;0,2000;4;11948,00;4,587
P_0;0,2000;5;11894,00;4,823
P_0;0,2000;6;12077,00;4,540
P_0;0,2000;7;12052,00;4,436
P_0;0,2000;8;11799,00;4,530
P_0;0,2000;9;12030,00;5,225
P_0;0,2000;10;11319,00;4,841
P_0;0,3000;1;11894,00;4,658
P_0;0,3000;2;12717,00;4,573
P_0;0,3000;3;11399,00;5,528
P_0;0,3000;4;11894,00;5,102
P_0;0,3000;5;12991,00;4,933
P_0;0,3000;6;12531,00;5,316
P_0;0,3000;7;12382,00;4,920
P_0;0,3000;8;12442,00;4,930
P_0;0,3000;9;12367,00;5,002
P_0;0,3000;10;12574,00;4,913
NUM_ANTS;20;1;11319,00;5,187
NUM_ANTS;20;2;11514,00;1,495
NUM_ANTS;20;3;11894,00;1,943
NUM_ANTS;20;4;12077,00;1,391
NUM_ANTS;20;5;11514,00;1,405
NUM_ANTS;20;6;11852,00;1,530
NUM_ANTS;20;7;11627,00;1,249
NUM_ANTS;20;8;11514,00;1,404
NUM_ANTS;20;9;11864,00;1,538
NUM_ANTS;20;10;12045,00;1,418
NUM_ANTS;30;1;11894,00;1,314
NUM_ANTS;30;2;11514,00;2,026
NUM_ANTS;30;3;11894,00;2,006
NUM_ANTS;30;4;12045,00;1,961
NUM_ANTS;30;5;11311,00;1,963
NUM_ANTS;30;6;11894,00;1,824
NUM_ANTS;30;7;11597,00;1,931
NUM_ANTS;30;8;11622,00;2,086
NUM_ANTS;30;9;11597,00;2,084
NUM_ANTS;30;10;11894,00;2,075
NUM_ANTS;40;1;11627,00;2,081
NUM_ANTS;40;2;11485,00;2,931
NUM_ANTS;40;3;11756,00;2,755
NUM_ANTS;40;4;11485,00;2,625
NUM_ANTS;40;5;11076,00;2,684
NUM_ANTS;40;6;11894,00;2,855
NUM_ANTS;40;7;11319,00;2,597
NUM_ANTS;40;8;11281,00;2,535
NUM_ANTS;40;9;11526,00;2,464
NUM_ANTS;40;10;11514,00;3,446
NUM_ANTS;50;1;11894,00;4,059
NUM_ANTS;50;2;11514,00;5,271
NUM_ANTS;50;3;11670,00;4,243
NUM_ANTS;50;4;11319,00;3,614
NUM_ANTS;50;5;11894,00;3,631
NUM_ANTS;50;6;11894,00;3,305
NUM_ANTS;50;7;11485,00;3,101
NUM_ANTS;50;8;11526,00;3,416
NUM_ANTS;50;9;11651,00;3,819
NUM_ANTS;50;10;11481,00;4,022
NUM_ANTS;75;1;11894,00;4,499
NUM_ANTS;75;2;11319,00;6,092
NUM_ANTS;75;3;11597,00;5,663
NUM_ANTS;75;4;11319,00;5,279
NUM_ANTS;75;5;11311,00;5,015
NUM_ANTS;75;6;11514,00;4,932
NUM_ANTS;75;7;11894,00;5,157
NUM_ANTS;75;8;11514,00;5,231
NUM_ANTS;75;9;11481,00;6,292
NUM_ANTS;75;10;11526,00;5,315
NUM_ANTS;100;1;11481,00;5,698
NUM_ANTS;100;2;11894,00;7,162
NUM_ANTS;100;3;11485,00;7,364
NUM_ANTS;100;4;11526,00;7,468
NUM_ANTS;100;5;11526,00;7,094
NUM_ANTS;100;6;11526,00;6,818
NUM_ANTS;100;7;11174,00;6,690
NUM_ANTS;100;8;11514,00;6,542
NUM_ANTS;100;9;11426,00;6,573
NUM_ANTS;100;10;11456,00;6,276
Q;10,0000;1;11908,00;2,541
Q;10,0000;2;11894,00;2,556
Q;10,0000;3;11894,00;2,505
Q;10,0000;4;11319,00;2,551
Q;10,0000;5;10851,00;2,497
Q;10,0000;6;11573,00;2,568
Q;10,0000;7;11894,00;3,023
Q;10,0000;8;11796,00;2,849
Q;10,0000;9;11481,00;2,547
Q;10,0000;10;11850,00;2,565
Q;50,0000;1;11574,00;2,700
Q;50,0000;2;11514,00;4,560
Q;50,0000;3;11514,00;2,657
Q;50,0000;4;11526,00;2,615
Q;50,0000;5;11510,00;2,560
Q;50,0000;6;11485,00;2,715
Q;50,0000;7;11319,00;2,532
Q;50,0000;8;11526,00;2,619
Q;50,0000;9;11319,00;2,563
Q;50,0000;10;11319,00;2,754
Q;100,0000;1;11597,00;2,639
Q;100,0000;2;11776,00;2,687
Q;100,0000;3;11526,00;2,707
Q;100,0000;4;11894,00;2,582
Q;100,0000;5;11894,00;2,417
Q;100,0000;6;11481,00;2,596
Q;100,0000;7;11411,00;2,706
Q;100,0000;8;11526,00;2,691
Q;100,0000;9;11481,00;2,596
Q;100,0000;10;11894,00;2,590
Q;500,0000;1;11597,00;2,939
Q;500,0000;2;11514,00;2,661
Q;500,0000;3;11319,00;2,822
Q;500,0000;4;11796,00;2,488
Q;500,0000;5;11237,00;2,808
Q;500,0000;6;11311,00;2,482
Q;500,0000;7;11894,00;2,678
Q;500,0000;8;11627,00;2,650
Q;500,0000;9;11853,00;2,708
Q;500,0000;10;11485,00;2,608
Q;750,0000;1;11627,00;2,738
Q;750,0000;2;11796,00;2,771
Q;750,0000;3;11894,00;2,579
Q;750,0000;4;11894,00;2,670
Q;750,0000;5;11481,00;2,572
Q;750,0000;6;11274,00;2,606
Q;750,0000;7;11481,00;2,609
Q;750,0000;8;11894,00;2,576
Q;750,0000;9;11319,00;2,837
Q;750,0000;10;11319,00;2,515
Q;1000,0000;1;11514,00;2,613
Q;1000,0000;2;11526,00;2,775
Q;1000,0000;3;11627,00;2,486
Q;1000,0000;4;11481,00;2,680
Q;1000,0000;5;11514,00;2,471
Q;1000,0000;6;11913,00;2,601
Q;1000,0000;7;11232,00;2,550
Q;1000,0000;8;11894,00;2,704
Q;1000,0000;9;11627,00;2,541
Q;1000,0000;10;11894,00;2,742
RHO;0,1000;1;11861,00;2,487
RHO;0,1000;2;11319,00;2,546
RHO;0,1000;3;11481,00;2,440
RHO;0,1000;4;11481,00;2,620
RHO;0,1000;5;11216,00;3,362
RHO;0,1000;6;11894,00;2,884
RHO;0,1000;7;11894,00;2,619
RHO;0,1000;8;11485,00;2,508
RHO;0,1000;9;11521,00;4,644
RHO;0,1000;10;11597,00;3,299
RHO;0,3000;1;10855,00;2,700
RHO;0,3000;2;11733,00;2,756
RHO;0,3000;3;11894,00;2,910
RHO;0,3000;4;11894,00;3,018
RHO;0,3000;5;11481,00;3,009
RHO;0,3000;6;11526,00;2,751
RHO;0,3000;7;11894,00;2,880
RHO;0,3000;8;11515,00;2,662
RHO;0,3000;9;11481,00;3,430
RHO;0,3000;10;11514,00;3,160
RHO;0,5000;1;11514,00;2,546
RHO;0,5000;2;11319,00;3,654
RHO;0,5000;3;11481,00;2,982
RHO;0,5000;4;11433,00;2,772
RHO;0,5000;5;11319,00;2,915
RHO;0,5000;6;11856,00;3,355
RHO;0,5000;7;11514,00;3,267
RHO;0,5000;8;11894,00;3,248
RHO;0,5000;9;11281,00;3,375
RHO;0,5000;10;11618,00;4,035
RHO;0,7000;1;11894,00;3,642
RHO;0,7000;2;11485,00;3,312
RHO;0,7000;3;11481,00;3,210
RHO;0,7000;4;11481,00;3,090
RHO;0,7000;5;11560,00;3,282
RHO;0,7000;6;11319,00;3,418
RHO;0,7000;7;11894,00;3,191
RHO;0,7000;8;11101,00;3,155
RHO;0,7000;9;11756,00;3,392
RHO;0,7000;10;11622,00;3,342
RHO;0,8000;1;11319,00;3,049
RHO;0,8000;2;11861,00;3,156
RHO;0,8000;3;11481,00;2,832
RHO;0,8000;4;11406,00;2,680
RHO;0,8000;5;11481,00;2,519
RHO;0,8000;6;11894,00;2,680
RHO;0,8000;7;11637,00;2,562
RHO;0,8000;8;11514,00;2,699
RHO;0,8000;9;11481,00;2,651
RHO;0,8000;10;11232,00;2,757
RHO;0,8500;1;11514,00;2,649
RHO;0,8500;2;11894,00;2,426
RHO;0,8500;3;11622,00;2,686
RHO;0,8500;4;11488,00;2,604
RHO;0,8500;5;11526,00;2,714
RHO;0,8500;6;11319,00;2,532
RHO;0,8500;7;11514,00;2,905
RHO;0,8500;8;11894,00;3,148
RHO;0,8500;9;11319,00;2,818
RHO;0,8500;10;11597,00;2,572
RHO;0,9000;1;11319,00;2,566
RHO;0,9000;2;11894,00;2,541
RHO;0,9000;3;11861,00;2,470
RHO;0,9000;4;11894,00;2,651
RHO;0,9000;5;11894,00;2,560
RHO;0,9000;6;11481,00;2,584
RHO;0,9000;7;11485,00;2,460
RHO;0,9000;8;11319,00;2,667
RHO;0,9000;9;11622,00;2,543
RHO;0,9000;10;11485,00;2,580
TAU_0;0,0000;1;11526,00;2,608
TAU_0;0,0000;2;11622,00;2,559
TAU_0;0,0000;3;11526,00;2,513
TAU_0;0,0000;4;11894,00;2,736
TAU_0;0,0000;5;11894,00;2,720
TAU_0;0,0000;6;11604,00;2,731
TAU_0;0,0000;7;11380,00;2,460
TAU_0;0,0000;8;11420,00;2,624
TAU_0;0,0000;9;11826,00;2,582
TAU_0;0,0000;10;11894,00;2,650
TAU_0;0,0001;1;11526,00;2,473
TAU_0;0,0001;2;11894,00;2,707
TAU_0;0,0001;3;11597,00;2,553
TAU_0;0,0001;4;11514,00;2,792
TAU_0;0,0001;5;11485,00;2,562
TAU_0;0,0001;6;11319,00;2,783
TAU_0;0,0001;7;11861,00;2,653
TAU_0;0,0001;8;11894,00;2,569
TAU_0;0,0001;9;11894,00;2,675
TAU_0;0,0001;10;11627,00;2,468
TAU_0;0,0010;1;11514,00;2,684
TAU_0;0,0010;2;11481,00;2,507
TAU_0;0,0010;3;11319,00;2,692
TAU_0;0,0010;4;11873,00;2,480
TAU_0;0,0010;5;11386,00;2,667
TAU_0;0,0010;6;11894,00;2,610
TAU_0;0,0010;7;11894,00;2,637
TAU_0;0,0010;8;11627,00;2,661
TAU_0;0,0010;9;11622,00;2,744
TAU_0;0,0010;10;11397,00;2,495
TAU_0;0,0100;1;11467,00;2,640
TAU_0;0,0100;2;11514,00;2,507
TAU_0;0,0100;3;11894,00;2,698
