Experiment started: 2025-03-26 17:56:48
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

Parameter;Value;BestLength;WorstLength;AverageLength;ValidRuns;ComputationTime

=== New Experiment ===
Started: 2025-03-26 17:58:30
Initial parameters:
ALPHA=0,0100;BETA=5,0000;RHO=0,8500;Q=10,00;TAU_0=0,5000;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

ALPHA;0,0010;11232,00;11526,00;11422,80;10;4571,10
ALPHA;0,0100;11076,00;11894,00;11426,80;10;4571,76
ALPHA;0,1000;11319,00;11796,00;11496,70;10;4573,39
ALPHA;0,5000;11319,00;11894,00;11549,50;10;4457,31
ALPHA;1,0000;11206,00;11894,00;11482,40;10;4613,62
ALPHA;1,5000;11259,00;11894,00;11566,00;10;5131,33
BETA;1,0000;11274,00;11526,00;11435,70;10;4557,69
BETA;1,5000;11319,00;11796,00;11457,80;10;4447,93
BETA;2,0000;11406,00;11894,00;11561,70;10;4318,56
BETA;3,0000;11243,00;11894,00;11513,40;10;4454,63
BETA;4,0000;10473,00;11597,00;11280,60;10;4507,92
BETA;5,0000;10738,00;11755,00;11439,40;10;4580,42
P_0;0,0100;11481,00;12045,00;11882,90;10;4529,40
P_0;0,0250;11319,00;12045,00;11744,20;10;4750,09
P_0;0,0500;11319,00;11894,00;11578,80;10;4711,17
P_0;0,1000;11319,00;11637,00;11506,90;10;5258,38
P_0;0,2000;11238,00;12077,00;11767,70;10;5547,21
P_0;0,3000;11399,00;12991,00;12319,10;10;4987,44
NUM_ANTS;20;11319,00;12077,00;11722,00;10;1855,98
NUM_ANTS;30;11311,00;12045,00;11726,20;10;1926,95
NUM_ANTS;40;11076,00;11894,00;11496,30;10;2697,42
NUM_ANTS;50;11319,00;11894,00;11632,80;10;3848,03
NUM_ANTS;75;11311,00;11894,00;11536,90;10;5347,50
NUM_ANTS;100;11174,00;11894,00;11500,80;10;6768,44
Q;10,0000;10851,00;11908,00;11646,00;10;2620,10
Q;50,0000;11319,00;11574,00;11460,60;10;2827,52
Q;100,0000;11411,00;11894,00;11648,00;10;2621,04
Q;500,0000;11237,00;11894,00;11563,30;10;2684,31
Q;750,0000;11274,00;11894,00;11597,90;10;2647,28
Q;1000,0000;11232,00;11913,00;11622,20;10;2616,38
RHO;0,1000;11216,00;11894,00;11574,90;10;2940,98
RHO;0,3000;10855,00;11894,00;11578,70;10;2927,53
RHO;0,5000;11281,00;11894,00;11522,90;10;3214,84
RHO;0,7000;11101,00;11894,00;11559,30;10;3303,31
RHO;0,8000;11232,00;11894,00;11530,60;10;2758,71
RHO;0,8500;11319,00;11894,00;11568,70;10;2705,20
RHO;0,9000;11319,00;11894,00;11625,40;10;2562,11
TAU_0;0,0000;11380,00;11894,00;11658,60;10;2618,21
TAU_0;0,0001;11319,00;11894,00;11661,10;10;2623,49
TAU_0;0,0010;11319,00;11894,00;11600,70;10;2617,71
TAU_0;0,0100;10819,00;11894,00;11496,00;10;2706,60
TAU_0;0,1000;11319,00;11894,00;11594,70;10;2634,59
TAU_0;0,5000;11319,00;11905,00;11622,90;10;2630,74
TAU_0;1,0000;11411,00;11894,00;11635,10;10;2690,70

=== New Experiment ===
Started: 2025-03-26 18:31:09
Initial parameters:
ALPHA=0,0100;BETA=4,0000;RHO=0,5000;Q=50,00;TAU_0=0,0100;P_0=0,1000;NUM_ANTS=40;MAX_ITERATIONS=1000

ALPHA;0,0010;11319,00;11904,00;11675,50;10;2708,48
ALPHA;0,0100;11319,00;11894,00;11596,50;10;2726,45
ALPHA;0,1000;11514,00;11894,00;11719,30;10;2661,99
ALPHA;0,5000;11319,00;11894,00;11641,40;10;2663,63
ALPHA;1,0000;11481,00;11894,00;11686,80;10;2802,96
ALPHA;1,5000;11319,00;11894,00;11585,50;10;2694,91
BETA;1,0000;11076,00;11873,00;11467,60;10;2734,18
BETA;1,5000;11481,00;11894,00;11586,60;10;2721,86
BETA;2,0000;11232,00;11894,00;11526,30;10;2619,17
BETA;3,0000;11243,00;11826,00;11535,80;10;2764,97
BETA;4,0000;11216,00;11908,00;11554,50;10;2725,70
BETA;5,0000;11319,00;11894,00;11666,10;10;2805,70
P_0;0,0100;11526,00;12180,00;11937,50;10;2608,29
P_0;0,0250;11627,00;12455,00;11867,90;10;2723,21
P_0;0,0500;11481,00;11894,00;11747,90;10;2740,02
P_0;0,1000;11274,00;11627,00;11469,40;10;2878,74
P_0;0,2000;11232,00;12285,00;11854,20;10;2848,24
P_0;0,3000;11870,00;12835,00;12441,20;10;2726,22
NUM_ANTS;20;11481,00;12045,00;11723,00;10;1442,39
NUM_ANTS;30;11319,00;12045,00;11720,20;10;1918,39
NUM_ANTS;40;11243,00;11894,00;11520,90;10;2669,15
NUM_ANTS;50;10897,00;11894,00;11488,00;10;3377,64
NUM_ANTS;75;10715,00;11597,00;11330,10;10;4933,86
NUM_ANTS;100;11243,00;11861,00;11457,90;10;6876,13
Q;10,0000;11281,00;11796,00;11549,70;10;5161,08
Q;50,0000;10495,00;11747,00;11372,80;10;5212,41
Q;100,0000;10473,00;11568,00;11339,20;10;5345,90
Q;500,0000;11156,00;11894,00;11503,40;10;5335,89
Q;750,0000;11243,00;11894,00;11444,20;10;5129,26
Q;1000,0000;11274,00;11894,00;11468,40;10;5197,38
RHO;0,1000;11319,00;11844,00;11552,40;10;5000,49
RHO;0,3000;11076,00;11796,00;11453,60;10;4998,31
RHO;0,5000;10892,00;11894,00;11485,70;10;5115,94
RHO;0,7000;11076,00;11514,00;11390,00;10;5086,17
RHO;0,8000;10517,00;11787,00;11417,10;10;4975,60
RHO;0,8500;11319,00;11894,00;11514,80;10;5238,67
RHO;0,9000;11481,00;11894,00;11636,80;10;5961,46
TAU_0;0,0000;11319,00;11627,00;11457,00;10;6328,86
TAU_0;0,0001;11281,00;11796,00;11492,80;10;5261,64
TAU_0;0,0010;11050,00;11627,00;11390,50;10;5446,20
TAU_0;0,0100;11146,00;11787,00;11417,80;10;5199,82
TAU_0;0,1000;10689,00;11894,00;11414,30;10;5177,55
TAU_0;0,5000;11232,00;11861,00;11489,40;10;5137,45
TAU_0;1,0000;11319,00;11755,00;11506,30;10;5221,71

=== New Experiment ===
Started: 2025-03-26 19:16:16
Initial parameters:
ALPHA=1,5000;BETA=1,0000;RHO=0,7000;Q=100,00;TAU_0=0,0100;P_0=0,1000;NUM_ANTS=75;MAX_ITERATIONS=1000

ALPHA;0,0010;11281,00;11868,00;11548,80;10;5578,47
ALPHA;0,0100;11319,00;11597,00;11433,10;10;4945,72
ALPHA;0,1000;11274,00;11891,00;11639,30;10;4516,17
ALPHA;0,5000;11319,00;11894,00;11543,40;10;4370,36
ALPHA;1,0000;10715,00;11622,00;11313,70;10;5166,90
ALPHA;1,5000;10517,00;11894,00;11399,10;10;5934,09
BETA;1,0000;11319,00;11894,00;11572,50;10;5687,65
BETA;1,5000;11319,00;11796,00;11432,10;10;5755,05
BETA;2,0000;10738,00;11894,00;11468,50;10;5450,97
BETA;3,0000;10495,00;11526,00;11364,30;10;5735,32
BETA;4,0000;11319,00;11733,00;11527,20;10;5458,32
BETA;5,0000;11281,00;11796,00;11499,80;10;4721,07
NUM_ANTS;20;11319,00;12077,00;11716,40;10;1581,26
NUM_ANTS;30;11319,00;12045,00;11703,50;10;1792,58
NUM_ANTS;40;11319,00;11933,00;11715,00;10;2480,74
